,host,time,http,URL,version,status,bytes
102,soleil.acomp.usf.edu,01/Jul/1995:10:33:22-0400,GET,/lcc.jpg,HTTP/1.0,404,-
103,ix-den10-15.ix.netcom.com,01/Jul/1995:10:36:11-0400,GET,/ksa.html,HTTP/1.0,404,-
104,ix-nbw-nj1-22.ix.netcom.com,01/Jul/1995:10:42:09-0400,GET,/finger,@net.com,404,-
105,houston.clark.net,01/Jul/1995:10:42:59-0400,GET,/pub,HTTP/1.0,404,-
106,houston.clark.net,01/Jul/1995:10:55:32-0400,GET,/pub/winvn/readme.txt,HTTP/1.0,404,-
107,houston.clark.net,01/Jul/1995:10:55:40-0400,GET,/pub/winvn/release.txt,HTTP/1.0,404,-
108,crux.izmiran.rssi.ru,01/Jul/1995:10:56:04-0400,GET,/shuttle/missions/sts-71/images/KSC-95EC-0916.txt,HTTP/1.0,404,-
109,gtri-5.remote.gatech.edu,01/Jul/1995:11:03:14-0400,GET,/pub/winvn/release.txt,HTTP/1.0,404,-
110,gtri-5.remote.gatech.edu,01/Jul/1995:11:03:22-0400,GET,/pub/winvn/readme.txt,HTTP/1.0,404,-
111,www-d2.proxy.aol.com,01/Jul/1995:11:07:14-0400,GET,/shutle/missions/sts-71/mission-sts-71.html,HTTP/1.0,404,-
112,www-d2.proxy.aol.com,01/Jul/1995:11:09:04-0400,GET,/shutle/missions/sts-71/mission-sts-71.html,HTTP/1.0,404,-
113,131.182.28.171,01/Jul/1995:11:11:42-0400,GET,/history/apollo/pad-abort-test-1/pad-abort-test-1-patch-small.gif,HTTP/1.0,404,-
114,umslts1_6.umsl.edu,01/Jul/1995:11:17:09-0400,GET,/history/apollo/publications/sp-350/sp-350.txt~,HTTP/1.0,404,-
115,ix-pa6-01.ix.netcom.com,01/Jul/1995:11:22:52-0400,GET,/history/apollo/publications/sp-350/sp-350.txt~,HTTP/1.0,404,-
116,unix.ccsnet.com,01/Jul/1995:11:27:25-0400,GET,/pub/winvn/readme.txt,HTTP/1.0,404,-
117,ppp-dc-1-2.ios.com,01/Jul/1995:11:27:58-0400,GET,/shuttle/missions/sts-XX/mission-sts-XX.html,HTTP/1.0,404,-
118,ppp-dc-1-2.ios.com,01/Jul/1995:11:28:10-0400,GET,/shuttle/missions/sts-XX/sts-XX-press-kit.txt,HTTP/1.0,404,-
119,ix-pa6-01.ix.netcom.com,01/Jul/1995:11:29:41-0400,GET,/history/apollo/publications/sp-350/sp-350.txt~,HTTP/1.0,404,-
120,pm-jv1-176.coastalnet.com,01/Jul/1995:11:30:45-0400,GET,/images/crawlerway.gif,HTTP/1.0,404,-
121,node4.abaforum.es,01/Jul/1995:11:32:46-0400,GET,/history/apollo/sa-1/sa-1-patch-small.gif,HTTP/1.0,404,-
122,205.139.153.28,01/Jul/1995:11:40:47-0400,GET,/shuttle/countdown/images/NASA-logosmall.gi,HTTP/1.0,404,-
123,205.139.153.28,01/Jul/1995:11:41:01-0400,GET,/shuttle/images/NASA-logosmall.gi,HTTP/1.0,404,-
124,205.139.153.28,01/Jul/1995:11:41:09-0400,GET,//images/NASA-logosmall.gi,HTTP/1.0,404,-
125,205.139.153.28,01/Jul/1995:11:41:16-0400,GET,/images/NASA-logosmall.gi,HTTP/1.0,404,-
126,ix-nyc6-23.ix.netcom.com,01/Jul/1995:11:48:40-0400,GET,/pub/winvn/readme.txt,HTTP/1.0,404,-
127,198.252.156.12,01/Jul/1995:11:48:55-0400,GET,/history/apollo-13/apollo-13.html,HTTP/1.0,404,-
128,198.252.156.12,01/Jul/1995:11:50:15-0400,GET,/history/apollo/apollo-13.html,HTTP/1.0,404,-
129,ix-nyc6-23.ix.netcom.com,01/Jul/1995:11:51:41-0400,GET,/pub/winvn/readme.txt,HTTP/1.0,404,-
130,ix-nyc6-23.ix.netcom.com,01/Jul/1995:11:51:47-0400,GET,/pub/winvn/release.txt,HTTP/1.0,404,-
131,slip52.dialup.mcgill.ca,01/Jul/1995:11:57:33-0400,GET,/shuttle/missions/sts-71/images/KSC-95EC-0916.txt,HTTP/1.0,404,-
132,corp-uu.infoseek.com,01/Jul/1995:12:16:49-0400,GET,/shuttle/missions/sts-66/nission-sts-66.html,HTTP/1.0,404,-
133,pcjmk.ag.rl.ac.uk,01/Jul/1995:12:18:03-0400,GET,/shuttle/countdown/video/livevideo.jpeg,HTTP/1.0,404,-
134,ix-har5-20.ix.netcom.com,01/Jul/1995:12:25:13-0400,GET,/shuttle/missions/sts-XX/mission-sts-XX.html,HTTP/1.0,404,-
